,fitness_avg,fitness_std,fitness_min,fitness_max,fitness_gen,fitness_nevals,size_avg,size_std,size_min,size_max,size_gen,size_nevals,gen,nevals
0,197.89274869186838,111.67975508545912,133.939055,1286.909127440211,0.0,400.0,4.165,1.7882323674511653,2.0,7.0,0.0,400.0,0,400
1,185.06794880432525,91.85647385198308,132.5813640909091,1286.909127440211,1.0,400.0,5.505,3.0199296349418474,1.0,13.0,1.0,400.0,1,400
2,405.0464210616087,4585.593752906305,110.692055,91994.72150017372,2.0,400.0,6.9625,3.708920833611847,1.0,18.0,2.0,400.0,2,400
3,165.8420658904947,26.976197619836114,96.13445499999999,309.470486187155,3.0,400.0,8.3375,4.599303615766195,1.0,22.0,3.0,400.0,3,400
4,164.89949118516606,79.99091303894055,83.8237640909091,1338.745813461421,4.0,400.0,10.435,6.016707986931059,1.0,27.0,4.0,400.0,4,400
5,151.4691774419431,54.92171852851432,67.868855,1017.398437108321,5.0,400.0,13.0425,6.481179965870412,1.0,31.0,5.0,400.0,5,400
6,607.8947808005912,6541.2753303595255,57.463208572001186,93735.08650986139,6.0,400.0,15.2075,7.535545351864058,1.0,36.0,6.0,400.0,6,400
7,133.34296471009847,75.23349653916164,48.09945499999999,1208.0499401386242,7.0,400.0,17.84,7.761082398737949,1.0,36.0,7.0,400.0,7,400
8,124.69923722330466,65.98909425830463,46.286854999999996,1178.818452404136,8.0,400.0,19.73,8.405480355101664,1.0,40.0,8.0,400.0,8,400
9,114.06967160928993,57.57840237424974,39.38132772727272,985.8170094026933,9.0,400.0,22.22,9.301161217826515,1.0,44.0,9.0,400.0,9,400
10,106.2756949663012,60.955606779956085,19.541028479999998,999.3892916537753,10.0,400.0,25.655,10.035236668858388,1.0,48.0,10.0,400.0,10,400
11,105.93316400481666,278.79295960747163,16.279028479999997,5619.681563846532,11.0,400.0,28.1525,10.164853356049953,1.0,51.0,11.0,400.0,11,400
12,88.87787111090647,86.85085669074762,13.444301207272725,1186.5566246985081,12.0,400.0,30.4125,11.32375131085101,1.0,53.0,12.0,400.0,12,400
13,95.50247756922971,286.6822883439235,9.155327727272725,4209.560418931121,13.0,400.0,33.8675,10.44461314506191,1.0,54.0,13.0,400.0,13,400
14,72.95439805695817,96.67980687963882,6.173386665454545,1181.14015992794,14.0,400.0,35.71,11.473051032746259,1.0,56.0,14.0,400.0,14,400
15,70.58774594492253,208.9217950702473,2.9534549999999995,3746.5047820840186,15.0,400.0,39.0925,10.838309081678746,1.0,61.0,15.0,400.0,15,400
16,54.38342812794642,50.90938789771998,2.9534549999999995,266.2367593890909,16.0,400.0,39.885,13.104074747955309,1.0,65.0,16.0,400.0,16,400
17,44.71138629657351,68.86456891507882,1.7234549999999993,1046.1591047476593,17.0,400.0,44.265,12.14803584946966,1.0,70.0,17.0,400.0,17,400
18,40.598197832721986,77.47969453603419,1.4128549999999995,1330.3322166070213,18.0,400.0,46.2775,12.67538929382447,1.0,72.0,18.0,400.0,18,400
19,49.017545977942156,218.47828010715463,1.4630550000000004,3905.33209203861,19.0,400.0,47.535,12.932469795054617,1.0,78.0,19.0,400.0,19,400
20,415.1989055032195,6685.99084824745,0.6418550000000004,133518.36073346963,20.0,400.0,46.18,14.225596648295635,1.0,82.0,20.0,400.0,20,400
21,272.48309894397283,4606.020185711453,0.39095843881880993,92259.20848609446,21.0,400.0,46.365,15.592843711138775,1.0,81.0,21.0,400.0,21,400
22,35.764468419419615,58.67033133799934,0.6418550000000002,508.15318863129136,22.0,400.0,47.68,15.123577619068843,1.0,79.0,22.0,400.0,22,400
23,38.22262795435728,54.42793901734528,0.6418550000000004,287.4290234637761,23.0,400.0,45.075,16.400743123407548,1.0,79.0,23.0,400.0,23,400
24,266.12669541604873,4602.300756342167,0.6418550000000004,92190.53266749413,24.0,400.0,45.125,15.813581978792786,1.0,84.0,24.0,400.0,24,400
25,81.81658765625943,785.2938775191925,0.331255,15632.587121979888,25.0,400.0,44.7925,15.24989979475275,1.0,81.0,25.0,400.0,25,400
